Name,Predicted_Global_Sales,Actual_Global_Sales,,,,,
Backyard Baseball '09,0.020171255,0.02,,-0.000171255,,,
Air Traffic Chaos,0.050252199,0.05,,-0.000252199,,,
Tony Hawk: Shred,0.250236899,0.26,,0.009763101,,,
Test Drive: Off Road,1.170400456,1.16,,-0.010400456,,,
ClayFighter 63 1/3,0.21011886,0.21,,-0.00011886,,,
Growlanser Generations,0.110211641,0.11,,-0.000211641,,,
Tetris,5.580414951,5.58,,-0.000414951,,,
NHL 2K8,0.130048245,0.13,,-4.82452E-05,,,
A Game of Thrones: Genesis,0.040423729,0.03,,-0.010423729,,,
Quiz! Hexagon II,0.060379036,0.06,,-0.000379036,,,
Whacked!,0.090383038,0.09,,-0.000383038,,,
From TV Animation One Piece: Tobidase Kaizokudan!,0.339987025,0.35,,0.010012975,,,
Lumines ll,0.310824424,0.3,,-0.010824424,,,
Rayman Raving Rabbids: TV Party,2.03003902,2.03,,-3.90199E-05,,,
Phoenix Wright: Revived Turnabout,0.040381595,0.04,,-0.000381595,,,
Get Fit with Mel B,0.080164485,0.08,,-0.000164485,,,
D.C.F.S.: Da Capo Four Seasons,0.040144987,0.04,,-0.000144987,,,
NBA Ballers: Phenom,0.120192267,0.13,,0.009807733,,,
Falcon 4.0: Allied Force,0.020595372,0.02,,-0.000595372,,,
Guitar Hero: Smash Hits,0.360421821,0.35,,-0.010421821,,,
Jet Impulse,0.020332009,0.02,,-0.000332009,,,
Green Lantern: Rise of the Manhunters,0.160643071,0.17,,0.009356929,,,
007: Quantum of Solace,0.130660705,0.13,,-0.000660705,,,
Farming Simulator 2015,0.200317919,0.2,,-0.000317919,,,
NFL 2K3,0.510334581,0.52,,0.009665419,,,
High Heat Major League Baseball 2004,0.080255508,0.08,,-0.000255508,,,
Yu-Gi-Oh! The Falsebound Kingdom,0.710445441,0.71,,-0.000445441,,,
Zettai Kaikyuu Gakuen: Eden with Roses and Phantasm,0.010148823,0.01,,-0.000148823,,,
Smarty Pants,1.43006333,1.43,,-6.33296E-05,,,
Kingdoms of Amalur: Reckoning,0.29986237,0.3,,0.00013763,,,
Buzz! The BIG Quiz,1.490165964,1.49,,-0.000165964,,,
MLB Power Pros 2008,0.060298264,0.06,,-0.000298264,,,
Pump It Up: Exceed,0.060472056,0.06,,-0.000472056,,,
DriveClub VR,0.090219654,0.09,,-0.000219654,,,
Watch Dogs,0.130323537,0.13,,-0.000323537,,,
Advance Wars,0.70026812,0.7,,-0.00026812,,,
Karaoke Revolution Volume 2,0.23018834,0.23,,-0.00018834,,,
"Sakura Wars 4: Koi Seyo,Otome",0.290113002,0.29,,-0.000113002,,,
Boot Camp Academy,0.030255735,0.03,,-0.000255735,,,
Nobunaga no Yabou DS,0.010491215,0.01,,-0.000491215,,,
Half-Life 2,2.38002158,2.37,,-0.01002158,,,
Get Fit with Mel B,0.070270717,0.08,,0.009729283,,,
Star Wars: Republic Commando,0.670583867,0.67,,-0.000583867,,,
Demon Chaos,0.090443529,0.09,,-0.000443529,,,
Rugrats: Totally Angelica,0.11014121,0.12,,0.00985879,,,
Let's Paint,0.070135526,0.07,,-0.000135526,,,
One Piece: Pirate Warriors 2,0.660427697,0.66,,-0.000427697,,,
Jikkyou Powerful Pro Yakyuu 6,0.420298487,0.42,,-0.000298487,,,
Fushigi no Dungeon: Furai no Shiren 2 - Oni Shuurai! Shiren Shiro!,0.36996869,0.37,,3.131E-05,,,
Centipede / Breakout / Warlords,0.070189126,0.07,,-0.000189126,,,
Nobunaga's Ambition: Iron Triangle,0.080406554,0.09,,0.009593446,,,
Split/Second,0.050332755,0.04,,-0.010332755,,,
Little Red Riding Hood's Zombie BBQ,0.030883528,0.04,,0.009116472,,,
S.L.A.I.: Steel Lancer Arena International,0.020502552,0.03,,0.009497448,,,
Harvest Moon DS Cute (jp sales),0.10032177,0.1,,-0.00032177,,,
Football Director DS,0.100368313,0.1,,-0.000368313,,,
Armored Core: For Answer,0.190437347,0.19,,-0.000437347,,,
Spider-Man 2,1.060285881,1.06,,-0.000285881,,,
Monster High: New Ghoul in School,0.010260157,0.01,,-0.000260157,,,
Invizimals,0.780187167,0.79,,0.009812833,,,
FIFA Soccer 2003,3.399923787,3.4,,7.62135E-05,,,
Tomoyo After: It's a Wonderful Life CS Edition,0.040144987,0.04,,-0.000144987,,,
Sins of a Solar Empire,0.020459935,0.03,,0.009540065,,,
Tiger Woods PGA Tour 08,0.380238533,0.38,,-0.000238533,,,
Inazuma Eleven 2,1.399873897,1.39,,-0.009873897,,,
Unreal Tournament,0.570489995,0.58,,0.009510005,,,
Petz Puppyz & Kittenz,0.120374329,0.12,,-0.000374329,,,
Saenai Kanojo no Sodatekata: Blessing Flowers,0.020452484,0.02,,-0.000452484,,,
Nicktoons: Attack of the Toybots,0.430535898,0.43,,-0.000535898,,,
Just Cause 3,0.910213158,0.9,,-0.010213158,,,
MDK2 Armageddon,0.170849092,0.17,,-0.000849092,,,
Final Fantasy: Crystal Chronicles,1.499870077,1.49,,-0.009870077,,,
South Park: The Stick of Truth,0.929719679,0.92,,-0.009719679,,,
Jimmy Neutron: Boy Genius,0.42060037,0.42,,-0.00060037,,,
NBA Jam Extreme,0.210355036,0.22,,0.009644964,,,
Judge Dredd,0.050620444,0.05,,-0.000620444,,,
Madden NFL 2001,1.670187756,1.67,,-0.000187756,,,
"Ni Hao, Kai-lan: Super Game Day",0.080183752,0.08,,-0.000183752,,,
NCAA Basketball 10,0.320184082,0.32,,-0.000184082,,,
Dream C Club,0.070325613,0.07,,-0.000325613,,,
Famicom Mini: Famicom Tantei Club Part II - Ushiro ni Tatsu Shoujo Zenkouhen,0.100137308,0.1,,-0.000137308,,,
Super R-Type,0.230667837,0.23,,-0.000667837,,,
Dynasty Warriors,0.280424573,0.27,,-0.010424573,,,
Johnny Bazookatone,0.050620444,0.05,,-0.000620444,,,
Digimon World 4,0.159919769,0.15,,-0.009919769,,,
Rayman Legends,0.430359118,0.43,,-0.000359118,,,
Rescue Heroes: Billy Blazes,0.080451936,0.08,,-0.000451936,,,
The Idolmaster: Gravure For You! Vol. 5,0.030382872,0.03,,-0.000382872,,,
Pro Evolution Soccer 2014,0.24034252,0.24,,-0.00034252,,,
Tube Slider,0.020305671,0.02,,-0.000305671,,,
Dragon Ball Z: Shin Budokai - Another Road,0.430065505,0.43,,-6.55052E-05,,,
Untold Legends: The Warriors Code,0.339946151,0.33,,-0.009946151,,,
Castlevania: Lords of Shadow,0.649935991,0.66,,0.010064009,,,
Rush Hour,0.030385733,0.03,,-0.000385733,,,
Yu-Gi-Oh! GX: Tag Force,0.130475454,0.13,,-0.000475454,,,
Dead Rising: Chop Till You Drop,0.290204786,0.29,,-0.000204786,,,
Sakura Wars: Atsuki Chishio Ni,0.240009472,0.24,,-9.47177E-06,,,
Breath of Fire: Dragon Quarter,0.180153899,0.19,,0.009846101,,,
Corpse Party: Blood Covered - Repeated Fear,0.050143711,0.05,,-0.000143711,,,
The Urbz: Sims In the City (US weekly sales),0.280307524,0.28,,-0.000307524,,,
Borderlands 2,3.060056351,3.05,,-0.010056351,,,
Alvin and the Chipmunks,0.080301009,0.07,,-0.010301009,,,
Spelling Challenges and more!,0.260360815,0.25,,-0.010360815,,,
Ice Age 2: The Meltdown,0.090487689,0.1,,0.009512311,,,
Prince of Persia: The Forgotten Sands,0.62024267,0.62,,-0.00024267,,,
FIFA 14,6.459365338,6.47,,0.010634662,,,
Myth Makers: Super Kart GP,0.010380298,0.02,,0.009619702,,,
Cars,0.93027553,0.92,,-0.01027553,,,
Aggressive Inline,0.340426251,0.35,,0.009573749,,,
James Bond 007: Agent Under Fire,0.730857909,0.72,,-0.010857909,,,
WWE SmackDown vs. Raw 2011,0.460340433,0.46,,-0.000340433,,,
Aliens vs Predator,0.190428406,0.19,,-0.000428406,,,
Beyblade: Metal Fusion,0.249899752,0.25,,0.000100248,,,
Haunted House,0.130323477,0.13,,-0.000323477,,,
 Tales of Xillia 2,0.839825302,0.84,,0.000174698,,,
Urban Chaos: Riot Response,0.06043309,0.06,,-0.00043309,,,
Iron Man,0.640582457,0.63,,-0.010582457,,,
MotoGP,0.270357005,0.27,,-0.000357005,,,
Around the World in 80 Days,0.040315799,0.05,,0.009684201,,,
Garou Densetsu 3: Road to the Final Victory,0.050121516,0.05,,-0.000121516,,,
American Girl: Julie Finds a Way,0.109943241,0.1,,-0.009943241,,,
Farming Simulator 2014,0.010334,0.01,,-0.000334,,,
Atelier Ayesha: The Alchemist of Dusk,0.260198794,0.26,,-0.000198794,,,
FIFA Soccer 06,0.070169128,0.07,,-0.000169128,,,
Die Hard Trilogy,1.530596942,1.54,,0.009403058,,,
PhotoKano,0.090138592,0.09,,-0.000138592,,,
Rhythm Thief & the Emperor's Treasure,0.270362377,0.27,,-0.000362377,,,
Naruto Shippuden: Gekito Ninja Taisen! EX 3,0.070118956,0.07,,-0.000118956,,,
SCORE International Baja 1000: The Official Game,0.100468144,0.1,,-0.000468144,,,
Ty the Tasmanian Tiger,0.270476311,0.27,,-0.000476311,,,
Touch Detective (JP sales),0.020147547,0.02,,-0.000147547,,,
GRID Autosport,0.180225872,0.18,,-0.000225872,,,
"Barbie: Jet, Set & Style!",0.420349792,0.42,,-0.000349792,,,
Hasbro Family Game Night,0.220778063,0.22,,-0.000778063,,,
NBA 2K9,0.410099976,0.41,,-9.99758E-05,,,
Mr. Do!'s Castle,0.160446651,0.17,,0.009553349,,,
Tom Clancy's Splinter Cell: Double Agent,0.779984109,0.78,,1.58909E-05,,,
Super Duper Sumos,0.030376323,0.03,,-0.000376323,,,
Norn + Nonette: Last Era,0.010453768,0.01,,-0.000453768,,,
Hot Wheels Turbo Racing,0.310466088,0.31,,-0.000466088,,,
MLB SlugFest Loaded,0.090447605,0.09,,-0.000447605,,,
Kanon,0.060142428,0.06,,-0.000142428,,,
Fantastic Voyage,0.340437114,0.34,,-0.000437114,,,
SoulCalibur IV,1.459836595,1.46,,0.000163405,,,
Nayuta no Kiseki,0.140437134,0.14,,-0.000437134,,,
Eternal Sonata,0.329938017,0.32,,-0.009938017,,,
ESPN Winter X-Games: Snowboarding 2002,0.070364177,0.06,,-0.010364177,,,
Drakensang: The Dark Eye,0.020039037,0.02,,-3.90369E-05,,,
Angry Birds Star Wars,0.100295044,0.1,,-0.000295044,,,
Metal Slug Anthology,0.140719093,0.14,,-0.000719093,,,
Exhibition,0.250370562,0.25,,-0.000370562,,,
Field Commander,0.150426365,0.16,,0.009573635,,,
Taito Legends,0.05058106,0.05,,-0.00058106,,,
NBA Street,2.789860971,2.79,,0.000139029,,,
Horsez,0.420071192,0.42,,-7.11921E-05,,,
Conflict: Desert Storm II - Back to Bagdhad,0.770619124,0.77,,-0.000619124,,,
Hi-Octane: The Track Fights Back!,0.050477996,0.05,,-0.000477996,,,
Sakura Wars,0.110136032,0.11,,-0.000136032,,,
Jikkyou Powerful Pro Yakyuu 2011,0.200341128,0.2,,-0.000341128,,,
Combination Pro Soccer: J-League no Kantoku ni Natte Sekai wo Mezase!!,0.260323793,0.25,,-0.010323793,,,
The Settlers: Rise of an Empire,0.02032762,0.02,,-0.00032762,,,
Bounty Hounds,0.030661486,0.03,,-0.000661486,,,
pro evolution soccer 2011,0.410106868,0.41,,-0.000106868,,,
Jewel Master: Cradle Of Rome 2,0.050866649,0.04,,-0.010866649,,,
The Testament of Sherlock Holmes,0.01995153,0.02,,4.84702E-05,,,
The Elder Scrolls V: Skyrim,3.879440442,3.88,,0.000559558,,,
Utawarerumono: Itsuwari no Kamen,0.060142428,0.06,,-0.000142428,,,
Cabela's Big Game Hunter 2010,0.270485349,0.27,,-0.000485349,,,
My Ballet Studio,0.010138951,0.02,,0.009861049,,,
Sengoku,0.010706745,0.01,,-0.000706745,,,
Aibou DS,0.080139868,0.08,,-0.000139868,,,
Loons: The Fight For Fame,0.070452504,0.07,,-0.000452504,,,
Bus Simulator 16,0.030429482,0.03,,-0.000429482,,,
Dragon Ball Z: Burst Limit,0.850108713,0.85,,-0.000108713,,,
Scarface: The World is Yours,0.140249304,0.14,,-0.000249304,,,
Cars 2,0.480435267,0.48,,-0.000435267,,,
Tamagotchi no Narikiri Channel,0.150020987,0.15,,-2.09868E-05,,,
Derby Time 2006,0.030362874,0.03,,-0.000362874,,,
Nicktoons: Battle for Volcano Island,0.290244602,0.29,,-0.000244602,,,
Kaboom!,1.150320701,1.15,,-0.000320701,,,
Shin Megami Tensei x Fire Emblem,0.250014238,0.25,,-1.42381E-05,,,
Bakumatsu Rock,0.010453768,0.01,,-0.000453768,,,
Mechanic Master 2,0.020675927,0.02,,-0.000675927,,,
Banjo-Tooie,1.49051217,1.49,,-0.00051217,,,
Wand of Fortune: Mirai e no Prologue,0.010148823,0.01,,-0.000148823,,,
Army Men: RTS,0.100681819,0.11,,0.009318181,,,
Curious George,0.16038698,0.16,,-0.00038698,,,
The Book of Unwritten Tales 2,0.010267697,0.01,,-0.000267697,,,
Where's Waldo? The Fantastic Journey,0.219899312,0.21,,-0.009899312,,,
Dragon Slayer: The Legend of Heroes,0.080029942,0.08,,-2.99421E-05,,,
Need for Speed: Most Wanted,1.010332048,1.01,,-0.000332048,,,
DJ Hero 2,0.760313518,0.75,,-0.010313518,,,
PDC World Championship Darts: Pro Tour,0.020367034,0.02,,-0.000367034,,,
PriPara Mezameyo! Megami no Dress Design,0.030451208,0.03,,-0.000451208,,,
Ecco the Dolphin,0.120134749,0.12,,-0.000134749,,,
Create,0.140304305,0.14,,-0.000304305,,,
NBA Starting Five,0.03030616,0.02,,-0.01030616,,,
From Russia With Love,0.410492018,0.41,,-0.000492018,,,
Dragon Ball Z: Battle of Z,0.300176784,0.31,,0.009823216,,,
Enchanted Arms,0.199960999,0.19,,-0.009960999,,,
Activision Anthology,0.040298723,0.05,,0.009701277,,,
Sengoku Efuda Yuugi: Hototogisu Tairan,0.030488655,0.03,,-0.000488655,,,
Sloane to MacHale no Nazo no Monogatari,0.20084653,0.2,,-0.00084653,,,
LEGO The Hobbit,0.220229648,0.22,,-0.000229648,,,
Enclave,0.149902582,0.14,,-0.009902582,,,
Super Robot Wars OG Saga: Masou Kishin - The Lord of Elemental,0.12047714,0.12,,-0.00047714,,,
Tonka Rescue Patrol,0.060452349,0.06,,-0.000452349,,,
Treasures of the Deep,0.180444345,0.19,,0.009555655,,,
Eiken DS,0.07037776,0.07,,-0.00037776,,,
Rapala: We Fish,0.570117734,0.57,,-0.000117734,,,
Shin Sangoku Musou 6 Special,0.110440969,0.11,,-0.000440969,,,
RealSports Volleyball,0.130360037,0.13,,-0.000360037,,,
Command & Conquer,0.400464006,0.4,,-0.000464006,,,
Alan Wake,1.339986265,1.33,,-0.009986265,,,
Doom,0.78064698,0.78,,-0.00064698,,,
Yoshi's Cookie,1.120756865,1.12,,-0.000756865,,,
High Velocity Bowling,0.14021422,0.15,,0.00978578,,,
PriPara Mezase! Idol Grand Prix No.1!,0.11037264,0.11,,-0.00037264,,,
Hello Kitty: Roller Rescue,0.080335096,0.08,,-0.000335096,,,
Blackwater,0.120883144,0.12,,-0.000883144,,,
Marvel Super Hero Squad: The Infinity Gauntlet,0.100365557,0.1,,-0.000365557,,,
Crash Superpack: Crash Bandicoot 2: N-Tranced / Crash Nitro Kart,0.120382056,0.12,,-0.000382056,,,
Pro Rally,0.010375693,0.02,,0.009624307,,,
Breach,0.010917589,0.01,,-0.000917589,,,
X-Men: Mutant Academy 2,0.720274478,0.72,,-0.000274478,,,
Teenage Mutant Ninja Turtles 3: Mutant Nightmare,0.040318824,0.04,,-0.000318824,,,
Warzone 2100,5.010161869,5.01,,-0.000161869,,,
Goat Simulator,0.010511041,0.01,,-0.000511041,,,
Watch Dogs,1.740097851,1.74,,-9.78506E-05,,,
Virtual Chess 64,0.06038402,0.06,,-0.00038402,,,
Yu-Gi-Oh! 5D's World Championship 2011: Over the Nexus,0.210472196,0.21,,-0.000472196,,,
Tom Clancy's Rainbow Six: Vegas,1.960062131,1.95,,-0.010062131,,,
Scooby-Doo! Mystery Mayhem,0.150443137,0.15,,-0.000443137,,,
Capcom vs. SNK 2: Millionaire Fighting 2001,0.120112561,0.12,,-0.000112561,,,
NCAA Football 2004,0.15026737,0.15,,-0.00026737,,,
Suzumiya Haruhi no Gekidou,0.070141152,0.07,,-0.000141152,,,
Pac-Man World Rally,0.020292133,0.02,,-0.000292133,,,
Namco Museum Battle Collection (JP sales),0.020384155,0.02,,-0.000384155,,,
Kuroshitsuji: Phantom & Ghost,0.040449925,0.04,,-0.000449925,,,
Pro Evolution Soccer 2014,0.110429764,0.1,,-0.010429764,,,
Untold Legends: Brotherhood of the Blade,1.099825777,1.09,,-0.009825777,,,
IL-2 Sturmovik: 1946,0.050564922,0.04,,-0.010564922,,,
Resident Evil 2: Dual Shock Edition,0.28040956,0.27,,-0.01040956,,,
Robots,0.130254783,0.14,,0.009745217,,,
Katekyoo Hitman Reborn Nerae!? Ring x Bongole Returns,0.010148823,0.01,,-0.000148823,,,
LittleBigPlanet PS Vita,1.249969058,1.25,,3.09423E-05,,,
Armored Core: Master of Arena,0.270302519,0.26,,-0.010302519,,,
Steins;Gate 0,0.030146264,0.03,,-0.000146264,,,
Just Dance 2014,0.990166441,0.99,,-0.000166441,,,
Tak 2: The Staff of Dreams,0.340422027,0.33,,-0.010422027,,,
Dora the Explorer: Dora Saves the Mermaids,1.050420366,1.05,,-0.000420366,,,
Busou Shinki: Battle Masters Mk. 2,0.110440969,0.11,,-0.000440969,,,
Boogie SuperStar,0.240139127,0.24,,-0.000139127,,,
"Sakigake!! Otokojuku - Nihon yo, Kore ga Otoko Dearu!",0.010126635,0.01,,-0.000126635,,,
Hakuouki Portable,0.100137308,0.1,,-0.000137308,,,
Battlefield 1942,0.020824403,0.03,,0.009175597,,,
Calvin Tucker's Redneck Jamboree,0.300210133,0.31,,0.009789867,,,
JASF: Jane's Advanced Strike Fighters,0.090583876,0.09,,-0.000583876,,,
Need for Speed: Shift 2 Unleashed,0.670400247,0.67,,-0.000400247,,,
Gekiatsu!! Pachi Game Tamashi Vol. 1: CR Evangelion - Shinjitsu no Tsubasa,0.030382872,0.03,,-0.000382872,,,
Crayon Shin-chan: Arashi o Yobu Kasukabe Eiga Stars!,0.060142428,0.06,,-0.000142428,,,
Lost in Blue,0.119885772,0.11,,-0.009885772,,,
Naruto: Uzumaki Chronicles 2,0.570517428,0.58,,0.009482572,,,
Singstar: Ultimate Party,0.090381876,0.09,,-0.000381876,,,
Disney's Winnie the Pooh's Rumbly Tumbly Adventure,0.060619146,0.07,,0.009380854,,,
Scribblenauts: Unlimited,0.370128162,0.37,,-0.000128162,,,
Frogger 3D,0.20034679,0.21,,0.00965321,,,
Jampack Winter 2003 (RP-T),0.390347719,0.39,,-0.000347719,,,
Sega Rally 2006,0.040474273,0.04,,-0.000474273,,,
The First Templar,0.080612794,0.08,,-0.000612794,,,
FoxKids.com Micro Maniacs Racing,0.110470496,0.11,,-0.000470496,,,
Desktop Tower Defense,0.110285632,0.11,,-0.000285632,,,
MAG: Massive Action Game,1.310548708,1.31,,-0.000548708,,,
Crimson Sea 2,0.070552878,0.07,,-0.000552878,,,
Don King Presents: Prizefighter,0.240331806,0.25,,0.009668194,,,
Kakuto Chojin,0.050199874,0.05,,-0.000199874,,,
Toshochu: Run for Money,0.620070778,0.62,,-7.07778E-05,,,
Petz: Horse Club,0.220168039,0.21,,-0.010168039,,,
Kikou Heidan J-Phoenix 2,0.040449925,0.04,,-0.000449925,,,
Bottom of the 9th '99,0.050365321,0.05,,-0.000365321,,,
Call of Juarez: Bound in Blood,0.030421183,0.03,,-0.000421183,,,
NBA 07,0.020182006,0.02,,-0.000182006,,,
Starry ? Sky: After Spring,0.040381595,0.04,,-0.000381595,,,
Chopper Attack,0.110450223,0.11,,-0.000450223,,,
Novastorm,0.040696442,0.04,,-0.000696442,,,
Napoleon Dynamite: The Game,0.030737258,0.04,,0.009262742,,,
CSI: Hard Evidence,0.890075333,0.89,,-7.53334E-05,,,
Build-A-Bear Workshop: Welcome to Hugsville,0.150177568,0.15,,-0.000177568,,,
Battlefield: Hardline,0.140531249,0.14,,-0.000531249,,,
Kid Fit Island Resort,0.050168812,0.05,,-0.000168812,,,
Code Geass: Hangyaku no Lelouch,0.030451208,0.03,,-0.000451208,,,
Fate/Tiger Colosseum Upper,0.060120232,0.06,,-0.000120232,,,
Need for Speed Rivals,1.979933172,1.98,,6.68275E-05,,,
Madden NFL 12,0.230147474,0.23,,-0.000147474,,,
Club Penguin: Elite Penguin Force,3.139664769,3.14,,0.000335231,,,
World Soccer Winning Eleven 9,4.049595788,4.06,,0.010404212,,,
Disney's Tarzan Untamed,0.410496064,0.41,,-0.000496064,,,
thinkSMART FAMILY!,0.030189954,0.03,,-0.000189954,,,
Test Drive 4,1.210399635,1.21,,-0.000399635,,,
Battlefield: Hardline,0.290528402,0.28,,-0.010528402,,,
Major League Baseball 2K13,0.480317183,0.48,,-0.000317183,,,
Shin Koihime Musou: Otome Ryouran * Sangokushi Engi - Wei-Hen,0.030146264,0.03,,-0.000146264,,,
Pitfall: The Mayan Adventure,0.28049694,0.28,,-0.00049694,,,
My Horse & Me: Riding for Gold,0.050364599,0.05,,-0.000364599,,,
Konami Collector's Series: Arcade Advanced,0.640288293,0.64,,-0.000288293,,,
Backstreet Billiards,0.34036573,0.34,,-0.00036573,,,
Grandia,0.249957837,0.25,,4.21628E-05,,,
Deus Ex: Human Revolution,1.380204424,1.37,,-0.010204424,,,
Strawberry Shortcake: Game Boy Advance Video Volume 1,0.150381081,0.15,,-0.000381081,,,
NHL Hitz 20-03,0.08026661,0.08,,-0.00026661,,,
Jam With the Band,0.510321461,0.51,,-0.000321461,,,
Lord of Apocalypse,0.100027382,0.1,,-2.73824E-05,,,
Mahjong Fight Club,0.170364961,0.17,,-0.000364961,,,
Denki Blocks!,0.04087057,0.04,,-0.00087057,,,
Asteroids Hyper 64,0.16069033,0.16,,-0.00069033,,,
RollerCoaster Tycoon,0.05029051,0.04,,-0.01029051,,,
Custom Robo V2,0.390053861,0.39,,-5.38608E-05,,,
Fight Night Round 3,1.659993671,1.67,,0.010006329,,,
Fireblade,0.080714472,0.08,,-0.000714472,,,
MX vs. ATV Unleashed,1.030124485,1.03,,-0.000124485,,,
Chaos;Head Noah,0.040144987,0.04,,-0.000144987,,,
Skylanders Giants,0.370375924,0.37,,-0.000375924,,,
Dragon Age: Origins,1.669583611,1.67,,0.000416389,,,
NHL 2004,0.180238292,0.18,,-0.000238292,,,
MLB 09: The Show,0.33028131,0.33,,-0.00028131,,,
Amazing Adventures: The Forgotten Ruins,0.229936697,0.24,,0.010063303,,,
Are You Smarter than a 5th Grader? Make the Grade,0.540138714,0.54,,-0.000138714,,,
DanceDanceRevolution,0.090126298,0.08,,-0.010126298,,,
ESPN Winter X Games: Snowboarding 2002,0.030608624,0.03,,-0.000608624,,,
Jackie Chan: Stuntmaster,0.21044337,0.22,,0.00955663,,,
Major League Baseball Featuring Ken Griffey Jr,0.790318318,0.79,,-0.000318318,,,
DiRT,0.870024472,0.87,,-2.44725E-05,,,
Daito Giken Koushiki Pachi-Slot Simulator: Shake II,0.040381595,0.04,,-0.000381595,,,
Dream Salon,0.190175287,0.19,,-0.000175287,,,
Football Manager Handheld 2010,0.350233331,0.35,,-0.000233331,,,
Fit in Six,0.130161017,0.13,,-0.000161017,,,
NHL 2K7,0.120202869,0.12,,-0.000202869,,,
Wakeboarding Unleashed Featuring Shaun Murray,0.050184362,0.05,,-0.000184362,,,
Frogs And Flies,0.350436538,0.36,,0.009563462,,,
Area 51,0.720648214,0.72,,-0.000648214,,,
Suzunone Seven: Rebirth Knot,0.020147547,0.02,,-0.000147547,,,
Dynasty Warriors: Eiketsuden,0.020452484,0.02,,-0.000452484,,,
Boom Blox,1.210348867,1.21,,-0.000348867,,,
Petz: Horseshoe Ranch,0.170134872,0.17,,-0.000134872,,,
Airport Simulator,0.020334885,0.02,,-0.000334885,,,
Fist of the North Star: Ken's Rage,0.650142178,0.66,,0.009857822,,,
The Powerpuff Girls: Him and Seek,0.430599801,0.43,,-0.000599801,,,
Digimon All-Star Rumble,0.099994615,0.09,,-0.009994615,,,
ModNation Racers,0.530221514,0.53,,-0.000221514,,,
Hexyz Force,0.140223466,0.14,,-0.000223466,,,
Tony Hawk's Pro Skater 5,0.060548149,0.06,,-0.000548149,,,
Room Zoom: Race for Impact,0.03047841,0.02,,-0.01047841,,,
NBA 06,0.220234774,0.22,,-0.000234774,,,
Need for Speed Rivals,0.700307474,0.69,,-0.010307474,,,
Ski and Shoot,0.090163916,0.09,,-0.000163916,,,
RLH: Run Like Hell,0.040484801,0.04,,-0.000484801,,,
Midtown Madness 3,0.310164303,0.3,,-0.010164303,,,
E0: Enemy Zero,0.410097644,0.41,,-9.76437E-05,,,
Tony Hawk's Pro Skater 5,0.07055302,0.07,,-0.00055302,,,
Resident Evil: Revelations 2,0.540177733,0.55,,0.009822267,,,
Farming Simulator 2012,0.130450845,0.14,,0.009549155,,,
Detective Conan: Phantom Rhapsody,0.030451208,0.03,,-0.000451208,,,
Digimon World Re:Digitize,0.220426895,0.22,,-0.000426895,,,
Darksiders: Warmastered Edition,0.020366699,0.02,,-0.000366699,,,
Rune Factory 4,0.559737176,0.57,,0.010262824,,,
Cars,0.940270633,0.93,,-0.010270633,,,
Cars: Race-O-Rama,0.160386167,0.15,,-0.010386167,,,
Clash of the Titans,0.160528779,0.16,,-0.000528779,,,
Dragon Ball Z: Collectible Card Game,0.460331917,0.46,,-0.000331917,,,
Super Bomberman 4,0.440815821,0.44,,-0.000815821,,,
Tokobot,0.060403638,0.06,,-0.000403638,,,
Mega Man Powered Up,0.150417492,0.14,,-0.010417492,,,
Pro Yaky? Spirits 5,0.180343688,0.18,,-0.000343688,,,
Crash Nitro Kart,0.460390545,0.46,,-0.000390545,,,
Tom Clancy's HAWX 2,0.050716631,0.05,,-0.000716631,,,
Sonic & All-Stars Racing Transformed,0.580442689,0.58,,-0.000442689,,,
Pitfall: The Big Adventure,0.229947321,0.22,,-0.009947321,,,
Beyblade G-Revolution,0.200323597,0.2,,-0.000323597,,,
Miyako,0.020147547,0.02,,-0.000147547,,,
Cartoon Network: Punch Time Explosion XL,0.090117969,0.08,,-0.010117969,,,
XCOM: Enemy Unknown,0.71005775,0.71,,-5.77503E-05,,,
Sprung - A Game Where Everyone Scores,0.060146682,0.06,,-0.000146682,,,
NASCAR 06: Total Team Control,0.640262954,0.63,,-0.010262954,,,
Odin Sphere: Leifthrasir,0.140313953,0.14,,-0.000313953,,,
The Oregon Trail,0.130321614,0.13,,-0.000321614,,,
Mighty No. 9,0.030542292,0.03,,-0.000542292,,,
PoPoLoCrois,0.049736805,0.06,,0.010263195,,,
Lego Star Wars: The Force Awakens,0.1302367,0.12,,-0.0102367,,,
Need for Speed (2015),2.420242317,2.43,,0.009757683,,,
Kono Aozora ni Yakusoku o: Tenohira no Rakuen,0.010148823,0.01,,-0.000148823,,,
Disney's Treasure Planet,0.280376196,0.28,,-0.000376196,,,
Rayman Raving Rabbids 2,1.840018168,1.83,,-0.010018168,,,
Robots,0.370344661,0.36,,-0.010344661,,,
Hot Shots Golf: World Invitational,0.559912354,0.55,,-0.009912354,,,
Halo 5: Guardians,4.489977583,4.48,,-0.009977583,,,
NCAA Basketball 09,0.160217576,0.17,,0.009782424,,,
Test Drive 5,1.300392151,1.3,,-0.000392151,,,
Need for Speed Carbon,0.050355434,0.05,,-0.000355434,,,
Myself; Yourself,0.010148823,0.01,,-0.000148823,,,
Batman: The Brave and the Bold the Videogame,0.290309064,0.29,,-0.000309064,,,
The Urbz: Sims in the City,1.760253035,1.76,,-0.000253035,,,
